product_id,product_name,product_category,price
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,261.96
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,731.94
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,14.62
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,957.5775
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,22.368
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,48.86
OFF-AR-10002833,Newell 322,Office Supplies,7.28
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,907.152
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,18.504
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,114.9
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,1706.184
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,911.424
OFF-PA-10002365,Xerox 1967,Office Supplies,15.552
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,407.976
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,68.81
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,2.544
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,665.88
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,55.5
OFF-AR-10003056,Newell 341,Office Supplies,8.56
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,213.48
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,22.72
OFF-AR-10000246,Newell 318,Office Supplies,19.46
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,60.34
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,71.372
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,1044.63
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,11.648
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,90.57
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,3083.43
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,9.618
