sales_id,customer_id ,product_id,sale_date,quantity,price,total_amount
CA-2013-152156,CG-12520,FUR-BO-10001798,11/9/2013,2,261.96,523.92
CA-2013-152156,CG-12520,FUR-CH-10000454,11/9/2013,3,731.94,2195.82
CA-2013-138688,DV-13045,OFF-LA-10000240,6/13/2013,2,14.62,29.24
US-2012-108966,SO-20335,FUR-TA-10000577,10/11/2012,5,957.5775,4787.8875
US-2012-108966,SO-20335,OFF-ST-10000760,10/11/2012,2,22.368,44.736
CA-2011-115812,BH-11710,FUR-FU-10001487,6/9/2011,7,48.86,342.02
CA-2011-115812,BH-11710,OFF-AR-10002833,6/9/2011,4,7.28,29.12
CA-2011-115812,BH-11710,TEC-PH-10002275,6/9/2011,6,907.152,5442.912
CA-2011-115812,BH-11710,OFF-BI-10003910,6/9/2011,3,18.504,55.512
CA-2011-115812,BH-11710,OFF-AP-10002892,6/9/2011,5,114.9,574.5
CA-2011-115812,BH-11710,FUR-TA-10001539,6/9/2011,9,1706.184,15355.656
CA-2011-115812,BH-11710,TEC-PH-10002033,6/9/2011,4,911.424,3645.696
CA-2014-114412,AA-10480,OFF-PA-10002365,4/16/2014,3,15.552,46.656
CA-2013-161389,IM-15070,OFF-BI-10003656,12/6/2013,3,407.976,1223.928
US-2012-118983,HP-14815,OFF-AP-10002311,11/22/2012,5,68.81,344.05
US-2012-118983,HP-14815,OFF-BI-10000756,11/22/2012,3,2.544,7.632
CA-2011-105893,PK-19075,OFF-ST-10004186,11/11/2011,6,665.88,3995.28
CA-2011-167164,AG-10270,OFF-ST-10000107,5/13/2011,2,55.5,111
CA-2011-143336,ZD-21925,OFF-AR-10003056,8/27/2011,2,8.56,17.12
CA-2011-143336,ZD-21925,TEC-PH-10001949,8/27/2011,3,213.48,640.44
CA-2011-143336,ZD-21925,OFF-BI-10002215,8/27/2011,4,22.72,90.88
CA-2013-137330,KB-16585,OFF-AR-10000246,12/10/2013,7,19.46,136.22
CA-2013-137330,KB-16585,OFF-AP-10001492,12/10/2013,7,60.34,422.38
US-2014-156909,SF-20065,FUR-CH-10002774,7/17/2014,2,71.372,142.744
CA-2012-106320,EB-13870,FUR-TA-10000577,9/25/2012,3,1044.63,3133.89
CA-2013-121755,EH-13945,OFF-BI-10001634,1/16/2013,2,11.648,23.296
CA-2013-121755,EH-13945,TEC-AC-10003027,1/16/2013,3,90.57,271.71
US-2012-150630,TB-21520,FUR-BO-10004834,9/17/2012,7,3083.43,21584.01
US-2012-150630,TB-21520,OFF-BI-10000474,9/17/2012,2,9.618,19.236
US-2012-150630,TB-21520,FUR-FU-10004848,9/17/2012,3,124.2,372.6
